"em","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"CH4","1A1a_Electricity-autoproducer","ktCH4",3.10489886442304,3.47632785062087,3.34192904957235,3.71539110723143,9.04755194279225,8.95252180003465,9.52328167310043,9.65223275423052,9.27615242259769,10.1893311982344,10.586652864528,10.1545287838686,10.6171002223646,11.3004189124129,14.5415889823334,14.8013945657262,16.1677696307439,16.3580393285852,17.3468332271271,18.0361543088398,21.816173812149,23.032507842617,24.8466969796717,24.992363043209,25.6468880546031,28.1443111260364,30.7082636279629,31.2344250263265,34.3633080994036,36.86496247218,35.5349288678398,36.0371612409562,37.9484275514122,40.5453540025512,45.3980486323943,52.079770700202,59.6451614856505,63.2907157597536,71.7333669054049,79.7357126235368,95.8276331419114,99.7514791944874,106.148439461532,115.427809770359,128.68452789347,136.086603362093,149.345822555721,158.209672838351,177.315333845943,189.255215752939,197.156500205079,226.276213695086,233.515255194061,221.405285588244
"CH4","1A1a_Electricity-public","ktCH4",103.779015060835,112.046217258119,138.784333853536,163.360341727548,131.162495888032,140.898974772778,136.739713276295,135.380439491814,127.87485996803,136.1732598507,131.695997059656,124.690313962961,127.941208360261,126.104322759638,134.232088128745,132.372022158419,128.570230038799,145.063946050111,161.340604569386,200.868520120476,180.911247477763,186.353122909407,189.634813391161,199.874554034902,208.98881853333,220.525617014363,234.116189319964,240.643867523048,251.688658548634,275.720460238591,298.674750293833,310.730678731903,322.421387679927,339.203123325371,356.216948507712,364.276319786748,390.477329492223,409.797552708138,431.616803190514,436.111831886226,476.244534644459,472.591328172781,505.938836583353,506.493266319592,524.896680745313,543.250001936145,567.891285792094,575.295995742467,576.324132824883,572.544935792003,544.049628060033,571.833625853406,555.696839943995,539.845416783892
"CH4","1A1a_Heat-production","ktCH4",25.3308507537353,28.0016492660752,29.7971693211085,31.0349955378875,32.8610001141753,34.7387744037398,35.7800150316303,37.0587377043986,38.347719489705,40.0790338271141,45.8678058607901,47.541416810114,50.3954213912618,53.2922214522441,56.459509892247,60.7503705814006,64.3861849770303,72.8458782152386,79.2883842497478,86.3178687434518,98.7661072789512,98.9809046303688,107.315101936235,106.080046176834,106.0662440534,123.521846180429,128.387463317381,121.457825248773,120.618023886833,136.218737861116,127.088413598636,131.946608130892,137.461685995658,151.354423555932,156.115445376516,167.786486848804,172.416612585779,179.612475339832,186.102120404952,199.26086744878,219.827018983062,233.969587502509,263.268185115941,293.460142273535,301.440501717334,298.95242036233,300.95477313014,286.256429444784,289.508502573061,300.04760568081,326.424652337089,329.19940112036,320.858921878008,320.219992565839
"CH4","1A1bc_Other-transformation","ktCH4",12.3218910680038,12.5384189863769,13.2300506694099,14.5792503694419,14.8264243756903,14.3697812909598,15.3321114769058,16.7069062423949,19.0815224902158,20.4139972272431,20.290400950898,20.2774497030584,22.1419537731972,23.7412668239506,25.2534614047242,27.8881957345312,27.6106227383514,29.7800589576872,30.13981888133,31.2199258324815,31.2610177887698,32.2588613599889,32.5427870137829,33.2234416231734,34.6410071175013,35.3020723993304,36.1836298146473,39.4292231223939,39.4758301062783,38.6878159021868,38.0768083545108,39.5804681825908,41.3869332891582,44.9107115543875,45.9950576577581,48.4294300903724,50.8831491097708,54.4953555377093,58.6592570359785,57.0326914534039,60.4946083602718,58.189592701213,59.0441623229923,62.4200534743448,59.9404687126571,61.3990044382879,59.5525053926957,59.4913131093668,63.8666892660267,67.5367648999429,62.6877765636528,61.7001505008116,61.0534926014437,61.4721311287644
"CH4","1A2a_Ind-Comb-Iron-steel","ktCH4",31.4325707967371,42.0133604131578,40.8662947437835,43.0501263203137,45.5387384155077,45.7026421874052,48.0123477765316,49.1714761198847,50.1192025590767,52.9942375248945,65.6825282552454,62.4618789272499,61.08402976514,62.6042399512142,68.2572698708515,64.99725086704,68.2395499469171,71.145697348969,75.266466467162,76.0146195085309,79.1251281211134,82.0753588802266,79.8122504809688,85.6666021660011,85.7381125933765,102.145419208674,94.9054514008012,97.7435412469236,93.4757298694552,86.4037378526111,98.6974374696961,96.9668258325892,101.401395285488,111.188482299055,124.186455370329,139.069057185428,144.07918878797,162.684553282683,169.330924099416,172.377285818493,187.448711718094,209.590761021874,213.364126512819,230.083921735341,240.180670385343,234.38650033838,227.418662212598,229.427872473108,244.985088608333,236.92641727392,216.748055481753,222.357876931532,225.84573701556,234.378011053603
"CH4","1A2b_Ind-Comb-Non-ferrous-metals","ktCH4",1.80640718462907,2.32434160118737,2.52214768689211,3.37877916428289,4.17904020784243,4.33292383799477,4.51779388462708,4.62849592523996,5.02299665695432,5.20320946377907,5.20455274615341,5.41039575577845,5.56114198248415,5.87468279469899,3.99157620650512,5.88091434142879,4.86028096692507,5.10455003352097,5.69089339840253,5.66048132174784,6.0880163336441,6.44646599128641,6.72006756028383,7.30335116442538,7.63145487659601,9.43109300297343,9.43317912788634,9.38989030078651,10.3226626123354,11.014779626561,12.4541520083549,11.6902774932255,12.416808066518,12.1493017647717,14.8658565658722,15.0871659389275,16.4186222666539,17.6831239642418,18.5710624086681,17.6495567245818,18.7833439742846,19.6501576790125,20.4345675992105,22.9912727416935,24.0020260265074,24.2918340121883,24.7479159138117,23.7304456474685,25.9223787895053,25.3239119385289,23.400082795524,26.0178488596425,29.2737759970932,29.8408441772439
"CH4","1A2c_Ind-Comb-Chemicals","ktCH4",12.0299447246464,12.5507282045427,13.0475294849384,14.0107372104165,14.364511439658,14.1530787925965,14.9951465992909,15.9703963287697,15.9085932995288,17.2329728165562,35.304994930013,35.6934038657986,36.1941347936449,38.0293237581862,40.3801258993154,31.8481155033234,31.8892840784685,33.7850211120943,35.3474567084318,37.4325226931472,46.2650615736052,48.6971245110219,50.6317716902185,55.2444856349073,58.7177122367615,68.7680359124928,69.2183292422647,66.4968109528759,65.5774243693978,62.6654711488928,66.6494705765485,63.5589393716543,64.1981734682998,67.0046913584819,74.7557891822769,81.5211856134975,93.2220702523175,96.1594043220262,86.7155260515685,82.7707358154267,92.7570799592062,107.759902088782,108.46580249517,115.502522625805,113.958494547518,115.150228578434,107.359121031376,111.241691340281,116.55914933044,118.446325739521,114.776940455707,119.602387208357,111.617772430597,112.94907893685
"CH4","1A2d_Ind-Comb-Pulp-paper","ktCH4",4.33627023880791,4.64534711574041,4.99160690372503,5.65486726505619,5.96942815879274,5.60230600587963,6.10544003529981,6.61245039337023,7.39759874360459,7.90679802772268,10.1761137501506,10.2698977134036,11.4996989108245,12.1782118239012,13.2755888162492,14.6436789207217,15.2475515491735,15.8892084653642,16.6986802139225,16.5788707266982,17.1299672357037,18.3404780537739,19.9028615344082,21.5236516152717,22.6585365849588,27.8758158410679,26.6382392922389,26.3609767355885,27.0888731377225,29.4306962524319,33.2366331121284,30.8871066046803,32.4747359353654,33.9678978976039,35.2766736252795,37.1671511761176,36.5036670934937,37.5039589746996,38.3123516993024,37.5324688748668,38.4664623732361,37.6575715966109,38.7037312415199,40.73297659999,40.8402655813204,41.191342896691,42.0823695516134,44.0464250857586,45.0710587010219,43.0330970856843,41.3786711002507,43.5007953758548,43.8038931923503,43.2186561471
"CH4","1A2e_Ind-Comb-Food-tobacco","ktCH4",18.3765094711441,17.3351061099698,18.5276078869614,19.6504924566628,20.0785302206449,19.1845262797052,20.8120723304304,23.0019896443349,21.3806376244805,20.9450217673745,25.5970539142506,27.3202305007948,28.9338248149907,30.1872557272797,30.6708636421937,30.2755252831259,31.0690132526804,33.7611023188799,32.6324078237914,32.4318434832514,34.3768842620567,35.691150333759,38.1696752122817,40.2850925349389,43.4915387574704,48.8615543264903,48.7085261662466,47.93471385583,49.306496485858,50.4932413667804,51.9787521071082,52.7430060976368,55.1898870840443,58.1266213302023,64.4978382775989,63.0534383847328,67.2601743617109,70.3087335729724,69.6486259762631,67.1263894844793,71.2502537188646,70.8816614499613,69.701610066212,72.5168483076057,71.3775996944709,71.9336492062543,74.9449230206041,76.5404288098363,73.9337562989145,73.6626489579569,75.9739493134091,76.2612113326284,77.4987926577373,76.9588697113824
"CH4","1A2f_Ind-Comb-Non-metalic-minerals","ktCH4",12.9286280808166,13.498975392701,14.6528230281373,15.7680814675958,16.7396407447101,18.0417904682147,18.9121867443231,19.7601688537962,20.1855075055887,20.6655728661187,31.2277612775492,32.3384652302648,34.6545501572785,35.2373319201576,37.0967477160086,43.5988495224083,45.971636752096,47.6992471229172,49.380087267831,50.3872997758759,52.0385006800319,55.2904211515102,57.1141913243012,63.3568387569089,68.1623085814135,80.4116424361233,80.1843856737626,81.1625660650834,85.1416187586075,81.8235064213016,82.6502054000759,84.7554596719502,81.1252673482378,93.001162516685,106.905972706898,115.300291095774,111.297191179243,115.180378763021,117.187936137267,110.68547018022,113.375496090532,124.378710615662,126.896841975055,133.208651223403,138.77880433076,136.932151527223,134.757623351491,135.20052623309,138.068663468568,138.426989046408,145.09842628761,148.829489120241,148.572079203918,151.598204319181
"CH4","1A2g_Ind-Comb-Construction","ktCH4",1.63365942592294,1.50587388647825,1.64984792012176,1.88211233482824,1.77026956151648,1.78551083910163,1.86291874301875,1.87810951588492,2.0947078526462,2.0433886331436,4.494758020357,3.98287346542158,4.27852442992592,4.73769449179731,5.35677799501814,6.46981314057347,6.91330214380062,6.182847375626,6.13051708091464,7.21604999405025,6.27921348942465,6.09336938194936,6.13889829389436,5.09395209036345,5.09373642246919,5.42959312272615,5.92506689477481,5.05155124475462,5.45008174721397,5.14924151283143,5.10324366368847,5.04015296399388,5.97517806805358,5.67847738872455,6.07490750676564,5.87833514885416,7.30355959694833,7.21086779270206,6.53971186125316,6.39712241230206,5.79475239678482,6.19885658321918,8.30512971943263,9.46605154416519,9.70111564501942,8.7279494883056,9.38667070469967,9.28398406655283,9.7312402294765,9.87454870002281,8.81570012814672,9.60671110755687,8.66479093584818,8.29259229688006
"CH4","1A2g_Ind-Comb-machinery","ktCH4",2.16722062584719,2.58562677048783,2.86510991466693,3.09168971809147,3.16157552352508,3.25022972453618,3.59334203801001,3.60033145202345,3.70963363302358,3.97349902277686,9.96895710259158,9.30606408112242,10.0222144557433,10.3603466402172,10.8451661997324,11.2083010748012,11.3781443109041,11.8455721352489,11.9587099191246,11.6577188118602,13.0157254892055,14.5869700301763,15.0821941303302,13.7058204715032,14.647340075972,18.2642114692632,16.9931035603293,15.7385525095653,14.808957682578,13.3431966959801,13.5473981696456,13.8935741084346,13.5733539828779,13.4726703038961,14.5431488321586,15.8188343080534,17.1835650716324,17.4417725013954,20.1465327552468,17.9419140736909,18.8197408037898,20.2510707207661,18.236514116715,19.8954870958829,19.9074793268481,20.1452069767006,21.877471931575,22.0561704486337,25.7018792459987,26.7112496392848,25.2564929095085,26.3687524063693,26.7260555622809,27.4628745548983
"CH4","1A2g_Ind-Comb-mining-quarying","ktCH4",1.31439472124472,1.50762390272684,1.54925471294767,1.96670668442743,2.13112778418284,2.09544491427048,2.13900310873291,2.25959395269501,2.71181287433189,2.81138025457479,3.54637035204644,3.54903060262848,3.43283198444276,3.46919872820917,4.09034185671534,4.06822173376711,4.32443813769389,4.39902846684194,4.27342543262556,4.64485149045179,6.6557901957423,7.07940285537318,6.95828031950075,7.10364376387062,6.70767017082654,7.34131006041232,7.30195019762453,6.5576428786392,6.31332151873863,5.81457398068644,5.95220245567672,6.37499598595954,6.43283000613788,6.98131441536845,7.86917235269501,8.11775896576546,8.375236367528,8.76263795423989,9.92466236326493,8.25472227296635,10.7731667400639,11.3287357091252,11.8909641498806,11.9501608285697,11.8830977518451,12.0467982658241,10.4214693415085,10.6367626999825,11.3440993223167,12.3944358005295,11.6474149380474,12.0786091815063,11.4803471467873,11.5981675901317
"CH4","1A2g_Ind-Comb-other","ktCH4",116.777157352046,120.132248822215,123.468279760666,129.840951546079,131.709778807679,133.574107576106,139.052554334786,148.946962138977,154.812868287822,160.162348561931,107.426327009944,107.197344001678,102.639533886283,106.082716550835,115.393886297432,112.13867709604,116.188980415099,122.921446005672,126.536775681401,121.021505821839,112.291505154206,108.595792737388,111.745136563393,102.913532485443,104.284027274074,85.08887080373,87.4374460586212,95.9650058442003,100.050872671608,100.932953705195,100.052060147954,106.98721021947,108.675622768539,111.558285435395,123.277108855805,147.875686917531,156.298118579887,153.219613051842,159.920673587903,157.752215270045,196.136098476383,171.972336845506,177.082386590406,179.76400369057,171.425280809742,168.668219995183,167.895386900155,171.531816938277,176.965962741758,180.639958857471,182.614773227928,195.670354579613,198.570012652745,201.718631444237
"CH4","1A2g_Ind-Comb-textile-leather","ktCH4",2.79127318683586,3.00830800410641,3.19650810128136,3.18105465773678,3.12366833610876,3.24894424285871,3.44354666368682,3.46337734608523,3.53769231290834,3.52554358440992,6.82776428761155,7.36208342289318,7.67197946128494,7.86822526258739,7.9780209261955,7.49252397443868,7.86381147352076,8.82721090710609,9.43197775803182,8.86338946912789,9.48695363178359,9.95791850212894,10.5438967630076,10.8411424797956,11.9007877820439,15.3946095165119,14.6519695415713,14.3199743523697,14.374143876922,12.5261410389937,14.5750271843351,13.5165180103985,12.8774663864779,12.8582636560626,14.8408713243203,14.6644462691949,14.0108732349358,13.3968018032393,13.6072407062319,11.9369270567257,12.2501119682263,13.030820167349,12.5365445943923,11.9619219781615,11.8370291955896,11.9432307368885,13.0288914229413,14.4702703483646,14.0413371900319,13.8587889736182,13.1683321812034,15.4478568801647,13.5098295806633,13.7134834356334
"CH4","1A2g_Ind-Comb-transpequip","ktCH4",0.592934952525571,0.716764237156069,0.764816357243037,0.779213944532827,0.776054229274519,0.76012200587188,0.809939560812653,0.859032343960268,0.860825761249716,0.928440415194418,0.849891574200415,0.864712352405086,0.843634222419907,0.851704786829029,1.07228085263533,1.08960755644747,1.11131073196902,1.19827075856734,1.1536987553376,1.1344351155297,1.20986439468328,1.23160871321286,1.27912514345982,3.09287560391837,3.30526359941629,4.502182992327,4.54459329392547,4.59050175078856,4.91410943701257,4.70312182911949,5.2881876857224,5.25456888832815,5.30341171611957,5.20626927798522,5.47388136640857,5.46076324983103,5.7171482276604,6.50662259993949,6.84818796332473,6.36941825157895,6.41576397560211,7.50881129932146,8.58383384032081,9.24644102700319,9.22386999017262,8.57713561169318,8.67412444456062,9.65254851122562,16.6439688551008,8.94756667582541,8.04513765306087,9.45436619294733,9.54049888105064,9.65056052092309
"CH4","1A2g_Ind-Comb-wood-products","ktCH4",0.346878513673082,0.36326669787638,0.384759658197504,0.475290057370625,0.507428187791583,0.520881542117009,0.559821747343154,0.594684945187167,0.622925280032612,0.651447555566313,1.33822464688609,1.31718507462409,1.3025554004382,1.32960282071546,1.50762214161069,3.0163279985301,3.07259237461518,3.2986120397179,3.49620604191656,3.57251852338483,1.39677777285187,1.49742953460915,1.57522010593163,2.18617965088145,2.44278056854581,3.17581376163101,3.30737950474295,3.39537435091694,3.53573618771914,3.66983063440816,3.48187089698657,3.32495513129619,3.28656571751387,3.47227744498164,4.47355263742003,4.42315832908729,4.29974322488309,4.33567851852911,4.49576338339644,4.40509424044578,4.18300960340897,4.43784764425091,4.38126659034858,4.66723752220103,4.46475567365123,5.36273383211172,5.58560648234522,5.63823952582023,5.83488968021224,5.7785002045257,5.54921166455444,6.33638653199526,6.45119915435969,6.44502456090349
"CH4","1A3ai_International-aviation","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","1A3aii_Domestic-aviation","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","1A3b_Road","ktCH4",663.991199977502,709.355644758167,760.348593961402,811.867405283069,811.299684205352,846.89882943856,884.697358141018,920.745757434845,970.853362562707,987.839793054867,985.938298169563,986.940356884916,992.188335337169,1010.10272473218,1034.39218384689,1046.38641088483,1092.21595970998,1136.64943374843,1188.88328678518,1230.24260343866,1254.40599638361,1269.49907836755,1302.79121850924,1332.67261591489,1338.06569304304,1369.3943316828,1381.81602636677,1350.8843175354,1316.78392653884,1270.19845582083,1249.44531162212,1221.93018047405,1212.88341037765,1217.9210841059,1228.19299895124,1228.52683555901,1210.58608348403,1237.44412057129,1318.56171318391,1358.41923919384,1409.44687613473,1452.34847624279,1462.86894556388,1483.43038736372,1486.32571405759,1507.36277842021,1497.82695244744,1490.34188031005,1486.25795268941,1482.32422886917,1341.93992846602,1375.72786486289,1363.63300412963,1381.343335358
"CH4","1A3c_Rail","ktCH4",17.9979870588762,15.2928712610732,15.7263288107841,16.2854034660946,16.325636497491,15.6770997761463,15.4693203021294,15.6072332358093,15.3925892489467,15.5408487771081,15.0716707109952,14.8207168123621,14.118506676005,13.0227768539642,13.2829178058113,12.8164259421559,12.87075067619,12.8640260819442,12.9507023484092,12.7000346117865,12.489309322278,11.8776489639337,11.570115050559,10.6265912457544,9.86382432107513,9.70292767616209,9.59854273061201,9.05156714145832,8.515829731466,8.14444556986391,10.6137689635991,10.2127042472693,10.0996031058754,10.3575017164678,11.094786984887,11.736815926893,12.1114003902131,12.1684872886341,11.6683265012862,10.2262193725155,10.5774884505342,11.5407930737156,11.0456081424325,10.8716148552932,10.5298843504029,10.0914053500364,9.83550606685718,10.0582630257492,10.5115394220231,10.4813556931671,8.85950912684616,9.5501621756972,9.99727747296588,10.2186342365573
"CH4","1A3di_International-shipping","ktCH4",6.23534604309283,6.37072198939265,6.66690013917101,7.0002604363749,6.49900614195317,5.96274336962412,6.13915287147457,6.10377037995834,6.13294665697137,6.31800376015771,6.14178387460167,5.66922313861259,5.09365924492752,4.7777882804041,4.94950580822288,5.39077191203946,5.75063159882158,5.98505292107936,6.53782555102814,7.09948384097143,7.1295717415575,7.66739253183245,7.81763967319219,8.21095421593031,8.60167556183809,8.88989111267535,8.74486953463478,9.54983797742674,9.50683622664583,9.52519842436083,10.3223813787133,10.4298289984751,10.5984505800247,11.2505693920233,12.1966581569969,12.9450026480816,14.1188111694376,15.1501503851929,15.9645604388841,13.4260343257355,12.3654131089773,13.8995482991648,12.5649206270054,12.391245563534,12.5034733637857,13.1801772909331,13.8849839342608,14.6114265760032,14.8339713328949,15.771853003951,15.370796665342,17.251875126901,16.2551083415135,16.549020373911
"CH4","1A3di_Oil_Tanker_Loading","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
